1	39	1	1	1
1	39	-1	0	1
2	1	1	1	1
2	1	-1	0	1
3	2	1	1	1
3	2	-1	0	1
4	2	1	1	1
4	2	-1	0	1
5	2	1	1	1
5	2	-1	0	1
6	3	1	1	1
6	3	-1	0	1
7	4	1	1	1
7	23	2	1	1
7	6	-1	1	1
8	39	1	1	1
8	39	-1	0	1
9	5	1	1	1
9	8	-1	1	2
9	5	-2	0	1
10	9	1	1	1
10	9	-1	0	1
11	10	1	1	1
11	36	2	1	1
11	14	-1	1	3
11	10	-2	0	1
11	36	-2	0	1
12	13	1	1	1
12	11	-1	1	2
13	12	1	1	1
13	12	-1	0	1
14	13	1	1	1
14	13	-1	0	1
15	3	1	1	1
15	3	-1	0	1
16	15	1	1	1
16	15	-1	0	1
16	36	-2	1	2
17	16	1	1	1
17	16	-1	0	1
18	7	1	1	1
18	21	2	1	1
18	31	-1	1	3
18	7	-2	0	1
18	21	-2	0	1
19	18	1	1	1
19	18	-1	0	1
20	19	1	1	1
20	22	2	1	1
20	36	-1	1	1
20	19	-2	0	1
20	31	-3	1	2
21	20	1	1	1
21	28	1	1	1
21	30	1	1	1
21	31	-1	1	2
21	20	-2	0	1
21	28	-3	0	1
21	30	-4	0	1
22	7	1	1	1
22	21	2	1	1
22	23	3	1	1
22	31	-1	1	4
22	7	-2	0	1
22	21	-2	0	1
22	23	-2	0	1
23	22	1	1	1
23	31	-1	1	2
23	22	-2	0	1
24	27	1	1	1
24	17	1	1	1
24	27	2	1	1
24	7	2	1	1
24	25	-1	1	3
24	27	-2	0	1
25	13	1	1	1
25	27	-1	1	1
25	26	-2	1	2
25	13	-3	0	1
26	27	1	1	1
26	36	-1	1	2
26	27	-2	0	1
27	17	1	1	1
27	38	2	1	3
27	37	-1	1	2
27	17	-2	0	1
27	38	-2	0	1
28	27	1	1	1
28	27	-1	0	1
29	27	1	1	1
29	27	-1	0	1
30	24	1	1	1
30	25	-1	1	1
31	13	1	1	1
31	30	-1	1	1
31	22	-2	1	1
31	23	-2	1	1
32	40	1	1	1
32	40	-1	0	1
33	32	1	1	1
33	32	-1	0	1
34	32	1	1	1
34	32	-1	0	1
35	33	1	1	1
35	34	1	1	1
35	34	-1	0	1
35	29	-2	1	2
36	35	1	1	1
36	35	-1	0	1
37	36	1	1	1
37	27	2	1	1
37	36	-1	0	1
